MemberCode,Id,AssignmentStatusCode,MemberId,WorkerAmazonId,Ip,BonusIdx,TotalBonus,AcceptTime,AutoApprovalTime,Deadline,SubmitTime,ApprovalTime,RejectionTime,Duration,PluralityAnswersCorrect,PluralityAnswersIncorrect,WorkerAgreementScore,Score,WorkerPayment,TaskId,Longitude,Latitude,TheGeom,ScheduledTime,StudyDay,WithinDayIndex,EmaStatusCode,TriggerTypeCode,LastResponseTime,LastReminderTime,ErrorMessage,QuestionCode,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33
a1xdxu43rjy8x7,54481,Submitted,4004,A1XDXU43RJY8X7,204.126.138.241/32,,0,2015-08-12T19:23:24+0000,,,2015-08-12T19:26:56+0000,,,,,,,24,,270415,,,,,,,,,,,,,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
aeloybhvzfdw9,54491,Submitted,4006,AELOYBHVZFDW9,73.46.73.170/32,,0,2015-08-12T19:24:28+0000,,,2015-08-12T19:31:29+0000,,,,,,,3,,270415,,,,,,,,,,,,,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2
ap5zzisdsv0g0,54493,Submitted,4016,AP5ZZISDSV0G0,174.48.115.24/32,,0,2015-08-12T19:39:54+0000,,,2015-08-12T19:49:23+0000,,,,,,,7,,270415,,,,,,,,,,,,,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2
a2wl2jc37be2qt,54483,Submitted,4012,A2WL2JC37BE2QT,50.105.245.14/32,,0,2015-08-12T19:29:07+0000,,,2015-08-12T19:35:09+0000,,,,,,,11,,270415,,,,,,,,,,,,,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2
a1zdumham754ij,54492,Submitted,4010,A1ZDUMHAM754IJ,98.234.155.139/32,,0,2015-08-12T19:25:08+0000,,,2015-08-12T19:32:47+0000,,,,,,,17,,270415,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2
a1tlnlb9d87h6,54484,Submitted,4008,A1TLNLB9D87H6,71.112.139.21/32,,0,2015-08-12T19:22:59+0000,,,2015-08-12T19:30:10+0000,,,,,,,12,,270415,,,,,,,,,,,,,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2
a2qcbyreduoiwv,54485,Submitted,4007,A2QCBYREDUOIWV,172.12.219.53/32,,0,2015-08-12T19:23:05+0000,,,2015-08-12T19:29:51+0000,,,,,,,14,,270415,,,,,,,,,,,,,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2
a38vmtks30tqzb,54488,Submitted,4005,A38VMTKS30TQZB,69.197.108.78/32,,0,2015-08-12T19:23:04+0000,,,2015-08-12T19:27:03+0000,,,,,,,29,,270415,,,,,,,,,,,,,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2
a2416iyi3fqmag,54482,Submitted,4003,A2416IYI3FQMAG,71.10.50.245/32,,0,2015-08-12T19:23:06+0000,,,2015-08-12T19:26:20+0000,,,,,,,12,,270415,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2
a3bl2zeodd79az,54487,Submitted,4002,A3BL2ZEODD79AZ,108.59.48.2/32,,0,2015-08-12T19:24:20+0000,,,2015-08-12T19:26:11+0000,,,,,,,14,,270415,,,,,,,,,,,,,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2
,54490,Abandoned,,,,,0,,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54489,Returned,,,,,0,2015-08-12T19:23:01+0000,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54486,Returned,,,,,0,2015-08-12T19:23:01+0000,,,,,,,,,,0,,270415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
